month,male_prefers_more_hours,male_hours_reduced,female_prefers_more_hours,female_hours_reduced,underemployment_rate_trend,underemployment_rate_sa,underutilisation_rate_trend,underutilisation_rate_sa,unemployment_rate_trend,unemployment_rate_sa,Tot_male_underemp,Tot_female_underemp,total_underemp,male_share,female_share,share_gap
2016-06-01,889.3,225.8,783.7,158.4,8.7,8.8,14.3,14.5,5.6,5.7,1115.1,942.1,2057.2,54.20474431265798,45.79525568734202,8.409488625315959
2016-07-01,880,218.2,805.3,152.2,8.7,9,14.3,14.7,5.6,5.7,1098.2,957.5,2055.7,53.42219195407891,46.5778080459211,6.844383908157809
2016-08-01,877.2,203.9,753.2,139.3,8.7,8.8,14.3,14.4,5.6,5.6,1081.1000000000001,892.5,1973.6000000000001,54.77807053100933,45.22192946899067,9.556141062018654
2016-09-01,820.7,211.1,749.1,150.2,8.6,8.7,14.3,14.4,5.7,5.7,1031.8,899.3,1931.1,53.43068717311377,46.569312826886225,6.861374346227542
2016-10-01,830,182.4,720.1,131.3,8.6,8.5,14.3,14.1,5.7,5.6,1012.4,851.4000000000001,1863.8000000000002,54.31913295417963,45.680867045820364,8.638265908359266
2016-11-01,844,182.5,765.4,124.5,8.6,8.5,14.3,14.3,5.7,5.8,1026.5,889.9,1916.4,53.56397411813817,46.43602588186182,7.127948236276346
2016-12-01,890.8,172.9,817.5,143.6,8.6,8.6,14.4,14.4,5.8,5.8,1063.7,961.1,2024.8000000000002,52.533583563808776,47.466416436191224,5.067167127617552
2017-01-01,833.9,198,802.5,149.6,8.7,8.7,14.5,14.4,5.8,5.7,1031.9,952.1,1984,52.01108870967742,47.988911290322584,4.02217741935484
2017-02-01,857.8,210.5,779.5,170.3,8.7,9,14.5,14.9,5.8,5.9,1068.3,949.8,2018.1,52.93592983499331,47.06407016500669,5.87185966998662
2017-03-01,831.1,213,754.4,153.4,8.7,8.6,14.5,14.4,5.8,5.8,1044.1,907.8,1951.8999999999999,53.49146984988985,46.50853015011015,6.982939699779706
2017-04-01,839.6,159,790.5,135.9,8.7,8.7,14.4,14.3,5.7,5.6,998.6,926.4,1925,51.87532467532468,48.12467532467532,3.750649350649354
2017-05-01,833,196.1,790.2,152.7,8.6,8.7,14.3,14.3,5.7,5.5,1029.1,942.9000000000001,1972,52.18559837728194,47.81440162271806,4.371196754563883
2017-06-01,841.6,178.9,777.9,146.9,8.6,8.4,14.2,14,5.6,5.6,1020.5,924.8,1945.3,52.4597748419267,47.5402251580733,4.919549683853404
2017-07-01,857.2,199.1,764.2,157.3,8.5,8.5,14.1,14.1,5.6,5.6,1056.3,921.5,1977.8,53.40782687834968,46.59217312165032,6.815653756699362
2017-08-01,829.4,195.6,760.3,144.1,8.5,8.6,14,14.1,5.5,5.5,1025,904.4,1929.4,53.125323934902035,46.87467606509795,6.250647869804084
2017-09-01,798.6,189.1,753.2,144.2,8.5,8.5,14,14,5.5,5.5,987.7,897.4000000000001,1885.1000000000001,52.395098403267724,47.60490159673227,4.790196806535455
2017-10-01,802.4,169.3,759.5,136.9,8.5,8.4,14,13.9,5.5,5.4,971.7,896.4,1868.1,52.01541673357958,47.98458326642043,4.030833467159148
2017-11-01,848.1,171.2,799.5,135.8,8.5,8.5,14,14,5.5,5.5,1019.3,935.3,1954.6,52.14877724342577,47.85122275657424,4.297554486851531
2017-12-01,859.4,183.8,858.8,141.5,8.5,8.5,14,14.1,5.5,5.6,1043.2,1000.3,2043.5,51.049669684365064,48.950330315634936,2.099339368730128
2018-01-01,873.1,197.4,819.4,156.5,8.5,8.7,14,14.2,5.5,5.5,1070.5,975.9,2046.4,52.31137607505863,47.68862392494136,4.622752150117272
2018-02-01,835.3,216.6,770.8,174.3,8.5,8.5,14,14.1,5.5,5.6,1051.8999999999999,945.0999999999999,1996.9999999999998,52.674011016524794,47.32598898347521,5.348022033049581
2018-03-01,807.3,187.8,788.4,144.6,8.5,8.6,14,14.1,5.5,5.5,995.0999999999999,933,1928.1,51.61039365178155,48.38960634821846,3.2207873035630925
2018-04-01,828.9,176,790.9,138.6,8.5,8.4,14,14,5.5,5.5,1004.9,929.5,1934.4,51.948924731182785,48.0510752688172,3.897849462365585
2018-05-01,813,199.4,772,149.7,8.5,8.5,14,14,5.4,5.4,1012.4,921.7,1934.1,52.34475983661652,47.65524016338349,4.689519673233029
2018-06-01,845.4,180.7,798.2,141.5,8.5,8.6,13.9,13.9,5.4,5.3,1026.1,939.7,1965.8,52.19757859395665,47.802421406043344,4.395157187913306
2018-07-01,858.9,181,817.7,145.7,8.4,8.5,13.7,13.8,5.3,5.3,1039.9,963.4000000000001,2003.3000000000002,51.90934957320421,48.09065042679579,3.81869914640842
2018-08-01,812.3,196.8,785.9,149.7,8.4,8.2,13.6,13.4,5.2,5.2,1009.0999999999999,935.5999999999999,1944.6999999999998,51.889751632642565,48.110248367357435,3.779503265285129
2018-09-01,795.2,179.3,770.2,137.9,8.3,8.3,13.5,13.3,5.2,5,974.5,908.1,1882.6,51.76351853819187,48.23648146180814,3.5270370763837278
2018-10-01,809.6,171.9,778.6,131.7,8.3,8.2,13.4,13.2,5.1,5,981.5,910.3,1891.8,51.881805687704826,48.11819431229517,3.76361137540966
2018-11-01,829.4,200.1,809,137.8,8.2,8.5,13.3,13.6,5.1,5.1,1029.5,946.8,1976.3,52.09229368010929,47.9077063198907,4.184587360218593
2018-12-01,869.1,181.8,846.2,154.3,8.2,8.3,13.2,13.3,5,5,1050.9,1000.5,2051.4,51.2284293653115,48.7715706346885,2.456858730622997
2019-01-01,854.8,260.6,813.1,169.1,8.2,8.1,13.2,13.1,5,5,1115.4,982.2,2097.6000000000004,53.17505720823799,46.824942791762005,6.350114416475982
2019-02-01,804.7,215,747.3,163.3,8.2,8,13.3,13,5,5,1019.7,910.5999999999999,1930.3,52.82598559809356,47.17401440190643,5.651971196187127
2019-03-01,819.7,186.5,771.9,150,8.2,8.2,13.3,13.3,5.1,5.1,1006.2,921.9,1928.1,52.186089933094756,47.813910066905244,4.372179866189512
2019-04-01,870.2,210.1,791.3,143.2,8.3,8.4,13.4,13.7,5.1,5.2,1080.3,934.5,2014.8,53.618225134008334,46.381774865991666,7.236450268016668
2019-05-01,896.1,220.1,800.8,155.8,8.3,8.7,13.5,13.9,5.2,5.2,1116.2,956.5999999999999,2072.8,53.849864917020454,46.15013508297954,7.699729834040916
2019-06-01,883.1,200,786.4,146.4,8.4,8.2,13.6,13.5,5.2,5.3,1083.1,932.8,2015.8999999999999,53.72786348529193,46.27213651470807,7.455726970583854
2019-07-01,888.9,222,798.2,146.8,8.4,8.4,13.6,13.7,5.3,5.3,1110.9,945,2055.9,54.03472931562819,45.96527068437181,8.069458631256381
2019-08-01,893.5,229.3,797.5,149.6,8.4,8.5,13.6,13.7,5.3,5.3,1122.8,947.1,2069.9,54.2441663848495,45.755833615150486,8.488332769699014
2019-09-01,861.1,216.4,788.3,140.7,8.4,8.3,13.6,13.5,5.2,5.2,1077.5,929,2006.5,53.70047346125093,46.29952653874906,7.400946922501866
2019-10-01,866.7,193.7,815.9,147.3,8.4,8.4,13.6,13.7,5.2,5.3,1060.4,963.2,2023.6000000000001,52.401660407195095,47.5983395928049,4.803320814390197
2019-11-01,893.7,192.3,797.5,135.6,8.4,8.3,13.6,13.5,5.2,5.2,1086,933.1,2019.1,53.786340448714775,46.21365955128523,7.572680897429542
2019-12-01,926.4,189.4,848.5,154.8,8.4,8.3,13.6,13.3,5.2,5,1115.8,1003.3,2119.1,52.654428766929364,47.34557123307064,5.3088575338587205
2020-01-01,910.8,259.6,874.6,184.5,8.5,8.5,13.7,13.8,5.2,5.2,1170.4,1059.1,2229.5,52.49607535321822,47.50392464678178,4.992150706436433
2020-02-01,879.4,222.7,833.6,161.7,8.6,8.5,13.8,13.7,5.2,5.1,1102.1,995.3,2097.3999999999996,52.54600934490322,47.453990655096796,5.092018689806423
2020-03-01,915.9,264.2,820.7,194,8.6,8.7,13.9,13.9,5.3,5.2,1180.1,1014.7,2194.8,53.76799708401676,46.23200291598323,7.5359941680335325
2020-04-01,944.6,868.9,803.5,874,NA,13.6,NA,19.9,NA,6.3,1813.5,1677.5,3491,51.94786594099112,48.05213405900888,3.8957318819822433
2020-05-01,906.4,802.7,741.8,720.1,NA,13.3,NA,20.3,NA,7,1709.1,1461.9,3171,53.89782403027436,46.10217596972564,7.795648060548714
2020-06-01,940.5,630.3,798.9,501.5,NA,11.6,NA,19,NA,7.4,1570.8,1300.4,2871.2,54.70883254388409,45.291167456115915,9.417665087768178
2020-07-01,951.8,568.8,795.1,401.2,NA,11.2,NA,18.6,NA,7.4,1520.6,1196.3,2716.8999999999996,55.968199050388314,44.03180094961169,11.936398100776621
2020-08-01,951.7,562.8,792.5,401.2,NA,11.1,NA,17.9,NA,6.8,1514.5,1193.7,2708.2,55.922753120153615,44.0772468798464,11.845506240307216
2020-09-01,922.8,514.4,771.5,369,NA,11.2,NA,18.1,NA,6.9,1437.1999999999998,1140.5,2577.7,55.75513054273189,44.24486945726811,11.510261085463782
2020-10-01,909.5,396.5,820,265.4,NA,10.2,NA,17.2,NA,7,1306,1085.4,2391.4,54.612360960107054,45.38763903989295,9.224721920214101
2020-11-01,889.7,319.1,795.3,230.1,NA,9.3,NA,16.1,NA,6.8,1208.8000000000002,1025.3999999999999,2234.2,54.10437740578284,45.895622594217166,8.208754811565676
2020-12-01,874.7,257.2,789.5,198.9,NA,8.5,NA,15.1,NA,6.6,1131.9,988.4,2120.3,53.383955100693306,46.616044899306694,6.767910201386613
2021-01-01,854,293.5,745.7,214.6,NA,8.1,NA,14.4,NA,6.3,1147.5,960.3000000000001,2107.8,54.44064901793338,45.55935098206661,8.88129803586677
2021-02-01,847,303.8,713.3,244.5,NA,8.4,NA,14.2,NA,5.8,1150.8,957.8,2108.6,54.5764962534383,45.4235037465617,9.1529925068766
2021-03-01,829.3,218.1,718.8,168.5,NA,7.9,NA,13.5,NA,5.7,1047.3999999999999,887.3,1934.6999999999998,54.13759239158525,45.86240760841475,8.275184783170502
2021-04-01,802.1,214.9,690.2,147.7,NA,7.8,NA,13.3,NA,5.5,1017,837.9000000000001,1854.9,54.827753517709844,45.17224648229015,9.655507035419696
2021-05-01,797.9,190.9,689.4,149.9,NA,7.7,NA,12.8,NA,5.1,988.8,839.3,1828.1,54.088944806082814,45.911055193917186,8.177889612165629
2021-06-01,821.2,278.3,689.5,232.9,NA,7.9,NA,12.9,NA,5,1099.5,922.4,2021.9,54.37954399327365,45.62045600672634,8.759087986547307
2021-07-01,827.9,344.4,716.8,286.8,NA,8.3,NA,13,NA,4.7,1172.3,1003.5999999999999,2175.8999999999996,53.87655682706007,46.123443172939936,7.753113654120135
2021-08-01,772.2,441.7,672.8,374.9,NA,9.1,NA,13.7,NA,4.6,1213.9,1047.6999999999998,2261.6,53.674389812522115,46.325610187477885,7.34877962504423
2021-09-01,751.3,436.7,622.5,373.6,NA,9.1,NA,13.8,NA,4.7,1188,996.1,2184.1,54.39311386841263,45.60688613158738,8.786227736825246
2021-10-01,741.3,441.9,658.9,312.1,NA,9.4,NA,14.6,NA,5.2,1183.1999999999998,971,2154.2,54.92526227833998,45.07473772166002,9.850524556679957
2021-11-01,743.7,236,689.2,181.6,NA,7.5,NA,12.2,NA,4.6,979.7,870.8000000000001,1850.5,52.94244798703054,47.057552012969474,5.884895974061067
2021-12-01,716.9,189.4,672.8,168.4,NA,6.7,NA,10.9,NA,4.2,906.3,841.1999999999999,1747.5,51.862660944206006,48.13733905579399,3.7253218884120187
2022-01-01,678.7,218.2,660.2,180.6,NA,6.6,NA,10.7,NA,4.2,896.9000000000001,840.8000000000001,1737.7000000000003,51.6142026817057,48.385797318294294,3.2284053634114045
2022-02-01,680.9,234.9,640.7,186.9,NA,6.6,NA,10.6,NA,4,915.8,827.6,1743.4,52.529539979350695,47.470460020649305,5.059079958701389
2022-03-01,691.1,179.1,642.5,155.9,NA,6.3,NA,10.3,NA,4,870.2,798.4,1668.6,52.15150425506413,47.848495744935875,4.303008510128258
2022-04-01,696.4,169.1,614,137.3,6.2,6.2,10.1,10,3.9,3.8,865.5,751.3,1616.8,53.53166749134092,46.468332508659074,7.063334982681845
2022-05-01,690.2,180.9,588.5,132.4,6.1,6,9.9,9.9,3.8,3.9,871.1,720.9,1592,54.71733668341708,45.28266331658291,9.434673366834168
2022-06-01,685.2,188.1,612,151.8,6.1,6.1,9.7,9.7,3.7,3.6,873.3000000000001,763.8,1637.1,53.344328385559834,46.655671614440166,6.688656771119668
2022-07-01,709,174.4,615.6,150.9,6,6.1,9.6,9.6,3.6,3.5,883.4,766.5,1649.9,53.542638947815014,46.45736105218498,7.0852778956300355
2022-08-01,697.8,168.6,612.2,132.3,6,6,9.5,9.5,3.5,3.5,866.4,744.5,1610.9,53.783599230243965,46.216400769756035,7.56719846048793
2022-09-01,671.5,157.7,594.7,127.6,6,6,9.5,9.6,3.5,3.6,829.2,722.3000000000001,1551.5,53.445053174347414,46.5549468256526,6.890106348694815
2022-10-01,705.6,144,603.4,129.7,6.1,6,9.5,9.5,3.5,3.4,849.6,733.0999999999999,1582.6999999999998,53.680419536235554,46.31958046376445,7.3608390724711015
2022-11-01,711.6,143.2,637.3,115.6,6.1,5.9,9.6,9.4,3.5,3.5,854.8,752.9,1607.6999999999998,53.169123592710086,46.83087640728992,6.338247185420165
2022-12-01,724.1,158.5,689.6,113.1,6.1,6.2,9.6,9.7,3.5,3.5,882.6,802.7,1685.3000000000002,52.370497834213495,47.629502165786505,4.74099566842699
2023-01-01,717,177.4,663.2,141.2,6.1,6.2,9.7,9.8,3.6,3.7,894.4,804.4000000000001,1698.8000000000002,52.648928655521544,47.351071344478456,5.297857311043089
2023-02-01,714,169.3,624.5,144.2,6.2,5.9,9.8,9.5,3.6,3.6,883.3,768.7,1652,53.46852300242131,46.5314769975787,6.937046004842607
2023-03-01,734.4,177.7,657.8,150.7,6.2,6.2,9.8,9.8,3.6,3.6,912.0999999999999,808.5,1720.6,53.01057770545159,46.98942229454842,6.0211554109031695
2023-04-01,746.6,155.7,648.8,124.4,6.3,6.1,9.9,9.8,3.6,3.7,902.3,773.1999999999999,1675.5,53.85258131900925,46.14741868099074,7.705162638018514
2023-05-01,757.7,170.8,667.5,134.1,6.4,6.5,10,10,3.6,3.6,928.5,801.6,1730.1,53.66741806831975,46.33258193168025,7.334836136639495
2023-06-01,747.6,190.8,678.9,133.2,6.5,6.5,10.1,10,3.6,3.5,938.4000000000001,812.0999999999999,1750.5,53.60754070265639,46.39245929734361,7.215081405312773
2023-07-01,766.3,225.3,670.5,143.6,6.5,6.5,10.1,10.2,3.6,3.7,991.5999999999999,814.1,1805.6999999999998,54.91499141607134,45.085008583928676,9.829982832142662
2023-08-01,789.3,224.6,653.7,132.3,6.5,6.6,10.2,10.3,3.7,3.7,1013.9,786,1799.9,56.33090727262625,43.669092727373744,12.661814545252504
2023-09-01,739.3,181.8,626.5,138.9,6.5,6.4,10.3,9.9,3.7,3.6,921.0999999999999,765.4,1686.5,54.61606878150014,45.38393121849985,9.232137563000286
2023-10-01,742.4,169.9,655.7,122.9,6.6,6.4,10.3,10.2,3.8,3.8,912.3,778.6,1690.9,53.95351587911762,46.04648412088237,7.907031758235249
2023-11-01,798.4,166.4,673.1,129.4,6.6,6.6,10.4,10.5,3.8,3.9,964.8,802.5,1767.3,54.59175012731284,45.40824987268715,9.183500254625692
2023-12-01,820.7,183,738.8,141.6,6.6,6.6,10.5,10.6,3.9,4,1003.7,880.4,1884.1,53.27211931426146,46.72788068573855,6.544238628522912
2024-01-01,776.5,181.1,734.9,147.6,6.6,6.7,10.5,10.8,3.9,4.1,957.6,882.5,1840.1,52.040649964675836,47.95935003532417,4.081299929351665
2024-02-01,771.7,190.3,682.9,160.1,6.6,6.6,10.6,10.3,4,3.7,962,843,1805,53.29639889196676,46.70360110803324,6.59279778393352
2024-03-01,798.4,171.1,680.3,144.1,6.6,6.4,10.6,10.3,4,3.9,969.5,824.4,1793.9,54.04426110708512,45.95573889291488,8.08852221417024
2024-04-01,764.1,173.6,707.9,122.3,6.5,6.6,10.5,10.6,4,4.1,937.7,830.1999999999999,1767.9,53.04033033542621,46.95966966457378,6.080660670852431
2024-05-01,776.8,176.1,708,150.5,6.5,6.7,10.5,10.7,4,4,952.9,858.5,1811.4,52.60571933311251,47.39428066688749,5.211438666225021
2024-06-01,821.1,176,696,132.1,6.4,6.4,10.5,10.4,4.1,4,997.1,828.1,1825.2,54.629629629629626,45.370370370370374,9.259259259259252
2024-07-01,816.6,161.2,707.6,134.4,6.4,6.3,10.4,10.5,4.1,4.2,977.8,842,1819.8,53.731179250467086,46.26882074953292,7.462358500934165
2024-08-01,799.6,194.1,681.1,131.5,6.3,6.5,10.4,10.6,4.1,4.1,993.7,812.6,1806.3000000000002,55.013010020483854,44.98698997951613,10.026020040967722
2024-09-01,769.3,167.9,628.8,146.4,6.2,6.3,10.3,10.3,4.1,4,937.1999999999999,775.1999999999999,1712.3999999999999,54.73020322354591,45.26979677645409,9.460406447091813
2024-10-01,753.2,172.7,647.2,118.6,6.2,6.2,10.2,10.3,4.1,4.1,925.9000000000001,765.8000000000001,1691.7000000000003,54.731926464503154,45.26807353549683,9.463852929006322
2024-11-01,732.3,162.3,647.3,124.6,6.1,6,10.1,10,4,3.9,894.5999999999999,771.9,1666.5,53.68136813681368,46.31863186318632,7.3627362736273625
2024-12-01,766.3,158.2,687.1,146.2,6,6,10,10,4,4,924.5,833.3,1757.8,52.59415178063489,47.40584821936512,5.18830356126977
2025-01-01,766.1,206.8,666.9,178.3,5.9,6,10,10.1,4,4.1,972.9000000000001,845.2,1818.1000000000001,53.51190803586161,46.488091964138384,7.023816071723225
2025-02-01,700.7,165.9,606.6,162,5.9,5.9,10,10,4,4.1,866.6,768.6,1635.2,52.99657534246576,47.00342465753425,5.993150684931514
2025-03-01,704.1,179.5,642.1,155.4,5.9,5.8,10,9.9,4.1,4.1,883.6,797.5,1681.1,52.56082327047766,47.43917672952234,5.121646540955325
2025-04-01,713.4,191.4,650.2,144.2,5.9,6,10,10.1,4.1,4.1,904.8,794.4000000000001,1699.2,53.24858757062147,46.75141242937853,6.497175141242934
2025-05-01,717.2,170.6,619.1,150.5,5.9,5.9,10.1,10,4.2,4.1,887.8000000000001,769.6,1657.4,53.5658259925184,46.4341740074816,7.131651985036797
