"Chart 5: Underemployed workers, by Sex, Original"
"month","Males: Prefers more hours ('000) ('000)","Males: Hours reduced ('000) ('000)","Females: Prefers more hours ('000) ('000)","Females: Hours reduced ('000) ('000)"
"Jul-14","802.2","190.7","718.8","131.6"
"Aug-14","810.0","183.7","736.8","127.2"
"Sep-14","847.8","198.6","741.4","144.9"
"Oct-14","800.0","169.1","696.3","111.8"
"Nov-14","863.4","160.1","771.5","121.1"
"Dec-14","877.0","177.3","786.7","150.9"
"Jan-15","833.9","229.3","759.8","164.2"
"Feb-15","823.8","205.0","727.2","164.2"
"Mar-15","793.8","181.0","735.4","132.2"
"Apr-15","851.5","154.6","725.1","122.1"
"May-15","861.6","200.8","742.2","134.6"
"Jun-15","865.0","184.5","754.4","127.6"
"Jul-15","870.0","192.0","744.2","145.6"
"Aug-15","818.3","183.9","744.8","137.7"
"Sep-15","812.4","186.3","761.5","145.5"
"Oct-15","819.2","167.7","744.3","134.2"
"Nov-15","825.4","173.2","781.4","136.8"
"Dec-15","829.6","184.0","809.4","152.8"
"Jan-16","829.7","232.5","765.0","158.6"
"Feb-16","805.0","202.6","722.9","146.1"
"Mar-16","812.4","200.4","739.7","152.0"
"Apr-16","850.0","212.6","718.6","140.9"
"May-16","855.1","198.0","722.8","143.0"
"Jun-16","889.3","225.8","783.7","158.4"
"Jul-16","880.0","218.2","805.3","152.2"
"Aug-16","877.2","203.9","753.2","139.3"
"Sep-16","820.7","211.1","749.1","150.2"
"Oct-16","830.0","182.4","720.1","131.3"
"Nov-16","844.0","182.5","765.4","124.5"
"Dec-16","890.8","172.9","817.5","143.6"
"Jan-17","833.9","198.0","802.5","149.6"
"Feb-17","857.8","210.5","779.5","170.3"
"Mar-17","831.1","213.0","754.4","153.4"
"Apr-17","839.6","159.0","790.5","135.9"
"May-17","833.0","196.1","790.2","152.7"
"Jun-17","841.6","178.9","777.9","146.9"
"Jul-17","857.2","199.1","764.2","157.3"
"Aug-17","829.4","195.6","760.3","144.1"
"Sep-17","798.6","189.1","753.2","144.2"
"Oct-17","802.4","169.3","759.5","136.9"
"Nov-17","848.1","171.2","799.5","135.8"
"Dec-17","859.4","183.8","858.8","141.5"
"Jan-18","873.1","197.4","819.4","156.5"
"Feb-18","835.3","216.6","770.8","174.3"
"Mar-18","807.3","187.8","788.4","144.6"
"Apr-18","828.9","176.0","790.9","138.6"
"May-18","813.0","199.4","772.0","149.7"
"Jun-18","845.4","180.7","798.2","141.5"
"Jul-18","858.9","181.0","817.7","145.7"
"Aug-18","812.3","196.8","785.9","149.7"
"Sep-18","795.2","179.3","770.2","137.9"
"Oct-18","809.6","171.9","778.6","131.7"
"Nov-18","829.4","200.1","809.0","137.8"
"Dec-18","869.1","181.8","846.2","154.3"
"Jan-19","854.8","260.6","813.1","169.1"
"Feb-19","804.7","215.0","747.3","163.3"
"Mar-19","819.7","186.5","771.9","150.0"
"Apr-19","870.2","210.1","791.3","143.2"
"May-19","896.1","220.1","800.8","155.8"
"Jun-19","883.1","200.0","786.4","146.4"
"Jul-19","888.9","222.0","798.2","146.8"
"Aug-19","893.5","229.3","797.5","149.6"
"Sep-19","861.1","216.4","788.3","140.7"
"Oct-19","866.7","193.7","815.9","147.3"
"Nov-19","893.7","192.3","797.5","135.6"
"Dec-19","926.4","189.4","848.5","154.8"
"Jan-20","910.8","259.6","874.6","184.5"
"Feb-20","879.4","222.7","833.6","161.7"
"Mar-20","915.9","264.2","820.7","194.0"
"Apr-20","944.6","868.9","803.5","874.0"
"May-20","906.4","802.7","741.8","720.1"
"Jun-20","940.5","630.3","798.9","501.5"
"Jul-20","951.8","568.8","795.1","401.2"
"Aug-20","951.7","562.8","792.5","401.2"
"Sep-20","922.8","514.4","771.5","369.0"
"Oct-20","909.5","396.5","820.0","265.4"
"Nov-20","889.7","319.1","795.3","230.1"
"Dec-20","874.7","257.2","789.5","198.9"
"Jan-21","854.0","293.5","745.7","214.6"
"Feb-21","847.0","303.8","713.3","244.5"
"Mar-21","829.3","218.1","718.8","168.5"
"Apr-21","802.1","214.9","690.2","147.7"
"May-21","797.9","190.9","689.4","149.9"
"Jun-21","821.2","278.3","689.5","232.9"
"Jul-21","827.9","344.4","716.8","286.8"
"Aug-21","772.2","441.7","672.8","374.9"
"Sep-21","751.3","436.7","622.5","373.6"
"Oct-21","741.3","441.9","658.9","312.1"
"Nov-21","743.7","236.0","689.2","181.6"
"Dec-21","716.9","189.4","672.8","168.4"
"Jan-22","678.7","218.2","660.2","180.6"
"Feb-22","680.9","234.9","640.7","186.9"
"Mar-22","691.1","179.1","642.5","155.9"
"Apr-22","696.4","169.1","614.0","137.3"
"May-22","690.2","180.9","588.5","132.4"
"Jun-22","685.2","188.1","612.0","151.8"
"Jul-22","709.0","174.4","615.6","150.9"
"Aug-22","697.8","168.6","612.2","132.3"
"Sep-22","671.5","157.7","594.7","127.6"
"Oct-22","705.6","144.0","603.4","129.7"
"Nov-22","711.6","143.2","637.3","115.6"
"Dec-22","724.1","158.5","689.6","113.1"
"Jan-23","717.0","177.4","663.2","141.2"
"Feb-23","714.0","169.3","624.5","144.2"
"Mar-23","734.4","177.7","657.8","150.7"
"Apr-23","746.6","155.7","648.8","124.4"
"May-23","757.7","170.8","667.5","134.1"
"Jun-23","747.6","190.8","678.9","133.2"
"Jul-23","766.3","225.3","670.5","143.6"
"Aug-23","789.3","224.6","653.7","132.3"
"Sep-23","739.3","181.8","626.5","138.9"
"Oct-23","742.4","169.9","655.7","122.9"
"Nov-23","798.4","166.4","673.1","129.4"
"Dec-23","820.7","183.0","738.8","141.6"
"Jan-24","776.5","181.1","734.9","147.6"
"Feb-24","771.7","190.3","682.9","160.1"
"Mar-24","798.4","171.1","680.3","144.1"
"Apr-24","764.1","173.6","707.9","122.3"
"May-24","776.8","176.1","708.0","150.5"
"Jun-24","821.1","176.0","696.0","132.1"
"Jul-24","816.6","161.2","707.6","134.4"
"Aug-24","799.6","194.1","681.1","131.5"
"Sep-24","769.3","167.9","628.8","146.4"
"Oct-24","753.2","172.7","647.2","118.6"
"Nov-24","732.3","162.3","647.3","124.6"
"Dec-24","766.3","158.2","687.1","146.2"
"Jan-25","766.1","206.8","666.9","178.3"
"Feb-25","700.7","165.9","606.6","162.0"
"Mar-25","704.1","179.5","642.1","155.4"
"Apr-25","713.4","191.4","650.2","144.2"
"May-25","717.2","170.6","619.1","150.5"

" Note: There are people who preferred more hours and also had their hours reduced, that is, they worked less hours than usual, and also prefer to work more than their usual hours - so the sum of the people who preferred more hours and the people who had their hours reduced does not equal the total underemployed."

" Source: Australian Bureau of Statistics, Underemployed workers February 2025"